,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
301,8 1 2,1.610730570644173,1.6185801498762606,2.5939996714130165,O-Si-O,1.8655169040910515
302,12 1 2,1.6238222820274901,1.6185801498762606,2.6812484339031624,O-Si-O,1.9472594252670021
304,8 1 5,1.610730570644173,1.6182631397549736,2.692911211734062,O-Si-O,1.9725541906874517
305,12 1 5,1.6238222820274901,1.6182631397549736,2.5827012686551636,O-Si-O,1.8433544764086296
308,12 1 8,1.6238222820274901,1.610730570644173,2.6700971430512555,O-Si-O,1.9421350960310313
312,14 9 2,1.5990301853566025,1.614900456304629,2.5561455749165716,O-Si-O,1.8390953640453849
313,23 9 2,1.6028584408454287,1.614900456304629,2.6810355897606195,O-Si-O,1.9697286785083226
314,26 9 2,1.6093133453545276,1.614900456304629,2.658419687514723,O-Si-O,1.938694724803244
316,23 9 14,1.6028584408454287,1.5990301853566025,2.646878019152618,O-Si-O,1.9462961034707842
317,26 9 14,1.6093133453545276,1.5990301853566025,2.6274045689479277,O-Si-O,1.9190763864548335
320,26 9 23,1.6093133453545276,1.6028584408454287,2.567582835252166,O-Si-O,1.8523531998192468
324,6 10 4,1.6129678329727293,1.6301102416524935,2.5889819292777605,O-Si-O,1.8489468332949024
325,11 10 4,1.607525740317708,1.6301102416524935,2.7030483973516697,O-Si-O,1.9758095932874156
326,55 10 4,1.6217826344602406,1.6301102416524935,2.6972758157758157,O-Si-O,1.956232824006897
328,11 10 6,1.607525740317708,1.6129678329727293,2.5634909338545575,O-Si-O,1.841291052053586
329,55 10 6,1.6217826344602406,1.6129678329727293,2.688374993420182,O-Si-O,1.9621314924910116
332,55 10 11,1.6217826344602406,1.607525740317708,2.6056322246017563,O-Si-O,1.8776543929867504
336,12 13 6,1.6226335418633921,1.6107598161333747,2.6414181916071193,O-Si-O,1.9120853339889483
337,17 13 6,1.592771817559818,1.6107598161333747,2.609585106635175,O-Si-O,1.904043355133997
338,19 13 6,1.603655361018171,1.6107598161333747,2.5943258156510343,O-Si-O,1.8784135935467803
340,17 13 12,1.592771817559818,1.6226335418633921,2.6211659174142015,O-Si-O,1.906052632333222
341,19 13 12,1.603655361018171,1.6226335418633921,2.703520113484036,O-Si-O,1.9870677659957119
344,19 13 17,1.603655361018171,1.592771817559818,2.5760765569420787,O-Si-O,1.8744597663474907
348,15 16 3,1.5926976151170367,1.6303846897690504,2.6764341792609603,O-Si-O,1.9595437998924936
349,30 16 3,1.594908519273265,1.6303846897690504,2.6482795685848655,O-Si-O,1.926577508803201
350,33 16 3,1.6131267912638088,1.6303846897690504,2.679973492666924,O-Si-O,1.9448402336828354
352,30 16 15,1.594908519273265,1.5926976151170367,2.504181317019031,O-Si-O,1.8073280337246398
353,33 16 15,1.6131267912638088,1.5926976151170367,2.6196935319447863,O-Si-O,1.9129284893173724
356,33 16 30,1.6131267912638088,1.594908519273265,2.6164545739400835,O-Si-O,1.9074874109320734
360,25 18 5,1.5869945590956127,1.61146045834392,2.6494002842052953,O-Si-O,1.9522276951554938
361,32 18 5,1.6304063831449789,1.61146045834392,2.674973910228292,O-Si-O,1.9408546188016147
362,54 18 5,1.5909867741879495,1.61146045834392,2.6140556474995247,O-Si-O,1.909813190296036
364,32 18 25,1.6304063831449789,1.5869945590956127,2.571540256471833,O-Si-O,1.8519892706779684
365,54 18 25,1.5909867741879495,1.5869945590956127,2.530358776286625,O-Si-O,1.8420275707594278
368,54 18 32,1.5909867741879495,1.6304063831449789,2.679552620530693,O-Si-O,1.9645828959883933
372,22 20 8,1.610168951922773,1.6215054064141194,2.5894901895920257,O-Si-O,1.858868650317141
373,24 20 8,1.6389704436939523,1.6215054064141194,2.7523869865016013,O-Si-O,2.0100015512419986
374,59 20 8,1.6231459304732327,1.6215054064141194,2.6438671260357522,O-Si-O,1.9049012191248047
376,24 20 22,1.6389704436939523,1.610168951922773,2.5768036940872783,O-Si-O,1.8316135717189876
377,59 20 22,1.6231459304732327,1.610168951922773,2.7065915372816742,O-Si-O,1.983891700559858
380,59 20 24,1.6231459304732327,1.6389704436939523,2.6313611315209053,O-Si-O,1.876880605872124
384,17 27 15,1.610149291118983,1.6064125928938624,2.538700610482775,O-Si-O,1.8192018234148324
385,118 27 15,1.5961855720603266,1.6064125928938624,2.721432625096626,O-Si-O,2.031044885026856
386,132 27 15,1.6005432192561875,1.6064125928938624,2.5660410549329935,O-Si-O,1.8550831858947476
388,118 27 17,1.5961855720603266,1.610149291118983,2.654605521490587,O-Si-O,1.9507833664184777
389,132 27 17,1.6005432192561875,1.610149291118983,2.571584976591895,O-Si-O,1.857733797342517
392,132 27 118,1.6005432192561875,1.5961855720603266,2.635040869863117,O-Si-O,1.9379030096327252
396,14 28 4,1.6006945178804421,1.6362821730183703,2.6532226456051076,O-Si-O,1.9215525172798287
397,34 28 4,1.6141571041658982,1.6362821730183703,2.6043550277475807,O-Si-O,1.8586671787466544
398,46 28 4,1.6174242407995576,1.6362821730183703,2.726887226051112,O-Si-O,1.987510240206459
400,34 28 14,1.6141571041658982,1.6006945178804421,2.617985768893484,O-Si-O,1.9031734840964072
401,46 28 14,1.6174242407995576,1.6006945178804421,2.578054945688908,O-Si-O,1.8582621809180317
404,46 28 34,1.6174242407995576,1.6141571041658982,2.6603460702206996,O-Si-O,1.9341663085851852
408,25 29 19,1.6090200188060872,1.6104706883079898,2.5944523993665296,O-Si-O,1.8742461118238316
409,44 29 19,1.637794439811736,1.6104706883079898,2.6334282101644777,O-Si-O,1.890705185553339
410,134 29 19,1.59085659594996,1.6104706883079898,2.647471945491949,O-Si-O,1.947446677011211
412,44 29 25,1.637794439811736,1.6090200188060872,2.622464231404252,O-Si-O,1.8804366711164626
413,134 29 25,1.59085659594996,1.6090200188060872,2.5159497226405176,O-Si-O,1.8094549212748445
416,134 29 44,1.59085659594996,1.637794439811736,2.761047011274162,O-Si-O,2.051631101347834
420,30 35 24,1.5918879602047165,1.6198082812881927,2.5182821029672957,O-Si-O,1.8024205604906813
421,36 35 24,1.5974202107404134,1.6198082812881927,2.6826253608758748,O-Si-O,1.9719919307586125
422,45 35 24,1.6208326948145493,1.6198082812881927,2.7567038920265414,O-Si-O,2.034502601685868
424,36 35 30,1.5974202107404134,1.5918879602047165,2.5835644236491886,O-Si-O,1.8885424664581858
425,45 35 30,1.6208326948145493,1.5918879602047165,2.6759156003593,O-Si-O,1.9686463312217988
428,45 35 36,1.6208326948145493,1.5974202107404134,2.5191686143162846,O-Si-O,1.798183868077033
432,39 37 36,1.6214615758172315,1.610982970047586,2.6810524318896705,O-Si-O,1.9561282535508695
433,42 37 36,1.628898016567049,1.610982970047586,2.6990566126722295,O-Si-O,1.9692588276948122
434,43 37 36,1.622865662747705,1.610982970047586,2.44296191885664,O-Si-O,1.7126233177738845
436,42 37 39,1.628898016567049,1.6214615758172315,2.6354843275849555,O-Si-O,1.8911289291842843
437,43 37 39,1.622865662747705,1.6214615758172315,2.654587131319234,O-Si-O,1.916630555639784
440,43 37 42,1.622865662747705,1.628898016567049,2.7489772446527145,O-Si-O,2.014551597110319
444,34 38 32,1.611714617672247,1.6285639169045323,2.60356277637669,O-Si-O,1.8662817989796554
445,39 38 32,1.6149094537090452,1.6285639169045323,2.737221947796174,O-Si-O,2.0090747338631423
446,44 38 32,1.6318384194019435,1.6285639169045323,2.5836117904332454,O-Si-O,1.829535428501104
448,39 38 34,1.6149094537090452,1.611714617672247,2.563359871785553,O-Si-O,1.8361698545351595
449,44 38 34,1.6318384194019435,1.611714617672247,2.742375171003305,O-Si-O,2.014920889955972
452,44 38 39,1.6318384194019435,1.6149094537090452,2.6534885515415945,O-Si-O,1.9133160345598648
456,43 40 31,1.6174195647022236,1.6250151735132343,2.731769193480517,O-Si-O,2.003831720887818
457,47 40 31,1.6116091720264232,1.6250151735132343,2.5569697028320464,O-Si-O,1.8216414377275485
458,50 40 31,1.6117697532497024,1.6250151735132343,2.686603656371341,O-Si-O,1.9582840663910461
460,47 40 43,1.6116091720264232,1.6174195647022236,2.7194584308399112,O-Si-O,2.002665344367235
461,50 40 43,1.6117697532497024,1.6174195647022236,2.501663851318059,O-Si-O,1.772489205578853
464,50 40 47,1.6117697532497024,1.6116091720264232,2.6292043604857223,O-Si-O,1.9077629767455888
468,42 41 33,1.638939015346512,1.6096755151461342,2.6311994103857512,O-Si-O,1.8880582338681569
469,49 41 33,1.6244242324044804,1.6096755151461342,2.6420221035356053,O-Si-O,1.9121089609271888
470,51 41 33,1.6306991172438028,1.6096755151461342,2.6069964838405926,O-Si-O,1.8697548684256322
472,49 41 42,1.6244242324044804,1.638939015346512,2.649627060820487,O-Si-O,1.8948920154489743
473,51 41 42,1.6306991172438028,1.638939015346512,2.7302424132127774,O-Si-O,1.9763665220037097
476,51 41 49,1.6306991172438028,1.6244242324044804,2.6681694670824387,O-Si-O,1.9217124006738353
480,49 52 48,1.6232560086833008,1.6079719060170938,2.62004641338044,O-Si-O,1.8911954486067604
481,84 52 48,1.6215377743354997,1.6079719060170938,2.6002336429714097,O-Si-O,1.8718373487348252
482,97 52 48,1.6322815847886047,1.6079719060170938,2.5915793590652894,O-Si-O,1.8539069858176562
484,84 52 49,1.6215377743354997,1.6232560086833008,2.650717436012774,O-Si-O,1.9120797257953919
485,97 52 49,1.6322815847886047,1.6232560086833008,2.6969687995789093,O-Si-O,1.9525745000150874
488,97 52 84,1.6322815847886047,1.6215377743354997,2.7182567237965127,O-Si-O,1.9777310127246568
492,58 53 21,1.610340919271337,1.6175447983479396,2.627085347424894,O-Si-O,1.9015663854637164
493,84 53 21,1.621747103848639,1.6175447983479396,2.6600018686455753,O-Si-O,1.926907111894728
494,130 53 21,1.6374928854970665,1.6175447983479396,2.5827873690795142,O-Si-O,1.8329629627497561
496,84 53 58,1.621747103848639,1.610340919271337,2.5730440273818975,O-Si-O,1.8416150028250509
497,130 53 58,1.6374928854970665,1.610340919271337,2.6688589489760717,O-Si-O,1.9288496344975339
500,130 53 84,1.6374928854970665,1.621747103848639,2.769092469977635,O-Si-O,2.0304874450748525
504,61 63 59,1.6150439403787569,1.6200704010928093,2.6394585144815568,O-Si-O,1.9084902073205334
505,62 63 59,1.6414124678334578,1.6200704010928093,2.648087941487583,O-Si-O,1.8948624458580579
506,72 63 59,1.6410199785041377,1.6200704010928093,2.702817719823288,O-Si-O,1.9539199818092912
508,62 63 61,1.6414124678334578,1.6150439403787569,2.604284780811442,O-Si-O,1.8536403541093611
509,72 63 61,1.6410199785041377,1.6150439403787569,2.5934254444317855,O-Si-O,1.8428904727550626
512,72 63 62,1.6410199785041377,1.6414124678334578,2.766596549384076,O-Si-O,2.0051129337281184
516,60 64 56,1.6086032529531948,1.5959838812613063,2.5100963252203603,O-Si-O,1.7998441134498293
517,61 64 56,1.6182036187745499,1.5959838812613063,2.68860571351408,O-Si-O,1.9816271096542557
518,78 64 56,1.591603262249675,1.5959838812613063,2.6433828644108974,O-Si-O,1.9556130467962527
520,61 64 60,1.6182036187745499,1.6086032529531948,2.6478555563339112,O-Si-O,1.9248466039380974
521,78 64 60,1.591603262249675,1.6086032529531948,2.650535211678052,O-Si-O,1.9518958189847844
524,78 64 61,1.591603262249675,1.6182036187745499,2.565903683999352,O-Si-O,1.8525236195315395
528,66 65 62,1.6196470777952612,1.6337116506271399,2.682865736685416,O-Si-O,1.939135518054517
529,67 65 62,1.6219279403026112,1.6337116506271399,2.7127374810250333,O-Si-O,1.9698844992626132
530,71 65 62,1.6255821825703343,1.6337116506271399,2.679197055091374,O-Si-O,1.9298858729294779
532,67 65 66,1.6219279403026112,1.6196470777952612,2.5888794146550937,O-Si-O,1.8500922025494486
533,71 65 66,1.6255821825703343,1.6196470777952612,2.602906788383796,O-Si-O,1.861509841924669
536,71 65 67,1.6255821825703343,1.6219279403026112,2.6497096754424905,O-Si-O,1.9086377074974725
540,69 68 60,1.6069761541539018,1.6022835883728845,2.5638497338424657,O-Si-O,1.8508977467866288
541,76 68 60,1.597579641776407,1.6022835883728845,2.5848155757282485,O-Si-O,1.880782957536638
542,82 68 60,1.5773659723444795,1.6022835883728845,2.633479798923051,O-Si-O,1.9518404190090988
544,76 68 69,1.597579641776407,1.6069761541539018,2.694685515620569,O-Si-O,1.997853274220062
545,82 68 69,1.5773659723444795,1.6069761541539018,2.600641057208424,O-Si-O,1.9112648324706827
