,Index,Name,Bond length
564,70 65,Si Si,3.1869900417130483
565,70 67,Si O,1.6238207003396983
566,70 68,Si Si,2.9547829673754573
567,70 69,Si O,1.6109008238691955
568,70 74,Si O,1.610541110121917
569,70 80,Si Si,3.0997022948494317
570,71 57,O O,2.5387705146557695
571,71 62,O O,2.679197055091374
572,71 65,O Si,1.6255821825703343
573,71 66,O O,2.602906788383796
574,71 67,O O,2.6497096754424905
575,71 83,O Si,1.6218547343407006
576,71 173,O O,2.747671398689678
577,71 179,O O,2.958119574397042
578,71 186,O O,2.6837605088281857
579,72 59,O O,2.702817719823288
580,72 61,O O,2.5934254444317855
581,72 62,O O,2.766596549384076
582,72 63,O Si,1.6410199785041377
583,72 79,O O,2.6865348930321136
584,72 87,O Si,1.6425804914619917
585,72 94,O O,2.81663980040234
586,72 102,O O,2.594663472826793
587,73 5,O O,2.9013923170467137
588,73 26,O O,2.614240406120551
589,73 54,O O,2.5840253658376064
590,73 57,O O,2.6158036556099056
591,73 75,O Si,1.6029382747922778
592,73 76,O O,2.555560705324473
593,73 77,O Si,1.6133013787458534
594,73 99,O O,2.6038934813151795
595,73 101,O O,2.6273326090464657
596,74 55,O O,2.6187241985692773
597,74 67,O O,2.7329471960024097
598,74 69,O O,2.5211227825798224
599,74 70,O Si,1.610541110121917
600,74 80,O Si,1.6078829509846462
601,74 105,O O,2.7793420951261987
602,74 186,O O,2.5606074611615375
603,74 199,O O,2.557116696050402
604,75 18,Si Si,2.8749708069435655
605,75 54,Si O,1.5980277133562864
606,75 57,Si O,1.5854671109615652
607,75 73,Si O,1.6029382747922778
608,75 77,Si Si,2.844396622702938
609,75 83,Si Si,3.180440025385219
610,75 86,Si Si,2.896098683888384
611,75 99,Si O,1.6022452472098065
612,76 26,O O,2.688905481861015
613,76 60,O O,2.5848155757282485
614,76 68,O Si,1.597579641776407
615,76 69,O O,2.694685515620569
616,76 73,O O,2.555560705324473
617,76 77,O Si,1.5972881326045496
618,76 78,O O,2.7915191808456963
619,76 82,O O,2.5570621528375925
620,76 89,O O,2.7962015444941772
621,76 101,O O,2.623009537837989
622,77 9,Si Si,3.134660248211111
623,77 26,Si O,1.5884342784084373
624,77 68,Si Si,2.975066767120902
625,77 73,Si O,1.6133013787458534
