,Index,Bond length 1,Bond length 2,Bond length 3,Dihedral angle,Bond name
598,123 183 215 98,1.6398734169090907,1.6381140129189824,1.645380262019113,121.92947362715582,Si O Si O
599,123 183 215 192,1.6398734169090907,1.6381140129189824,1.6169878420103256,-5.402279906500211,Si O Si O
600,120 125 124 133,1.5591542645192331,1.6310191360306452,1.5974775903028062,-174.58382242429977,O Si O Si
601,134 125 124 133,1.6424806983141234,1.6310191360306452,1.5974775903028062,61.52359572256469,O Si O Si
602,148 125 124 133,1.6228140113473355,1.6310191360306452,1.5974775903028062,-52.71679373125781,O Si O Si
603,125 124 133 122,1.6310191360306452,1.5974775903028062,1.6222038526260434,129.82332863280803,Si O Si O
604,125 124 133 128,1.6310191360306452,1.5974775903028062,1.6399082261021134,-113.58386970037749,Si O Si O
605,125 124 133 137,1.6310191360306452,1.5974775903028062,1.6246297163253085,5.6675358570954035,Si O Si O
606,120 125 148 147,1.5591542645192331,1.6228140113473355,1.5936369474794874,113.94643175696922,O Si O Si
607,124 125 148 147,1.6310191360306452,1.6228140113473355,1.5936369474794874,-7.125663425488556,O Si O Si
608,134 125 148 147,1.6424806983141234,1.6228140113473355,1.5936369474794874,-119.34961189107814,O Si O Si
609,125 148 147 144,1.6228140113473355,1.5936369474794874,1.6255992696974058,-12.96224176323405,Si O Si O
610,125 148 147 146,1.6228140113473355,1.5936369474794874,1.620742709419741,110.14193080582746,Si O Si O
611,125 148 147 150,1.6228140113473355,1.5936369474794874,1.620498178634236,-136.83499397578188,Si O Si O
612,122 133 128 167,1.6222038526260434,1.6399082261021134,1.6335964707236696,24.39691881053462,O Si O Si
613,124 133 128 167,1.5974775903028062,1.6399082261021134,1.6335964707236696,-92.991284585608,O Si O Si
614,137 133 128 167,1.6246297163253085,1.6399082261021134,1.6335964707236696,148.3907474777149,O Si O Si
615,133 128 167 162,1.6399082261021134,1.6335964707236696,1.6213134502159778,-6.920877946272561,Si O Si O
616,133 128 167 164,1.6399082261021134,1.6335964707236696,1.60874757635863,113.26700187636264,Si O Si O
617,133 128 167 178,1.6399082261021134,1.6335964707236696,1.6133467342130428,-126.80995790281267,Si O Si O
618,122 133 137 140,1.6222038526260434,1.6246297163253085,1.6255956859490672,162.0669688217379,O Si O Si
