,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
188,147 144 156,1.6255992696974058,1.6138981051172017,3.0027413722100436,Si O Si,135.9177791017259
191,147 150 209,1.620498178634236,1.6126537796876437,3.1060768883914447,Si O Si,147.76565332303394
194,151 153 205,1.622780423463105,1.6073513770830181,3.035429629818683,Si O Si,140.00975411187616
195,151 155 156,1.587879016148726,1.601047360276213,3.154287729452241,Si O Si,163.09467714115394
199,154 189 190,1.6438860810237432,1.6301117317383966,3.1084529166008585,Si O Si,143.40367544301213
205,157 182 176,1.6055050217553213,1.6099386453068096,2.7577533886430716,Si O Si,118.1093643997218
206,157 203 206,1.6028550660480954,1.60373362757698,3.072135282134251,Si O Si,146.69869600993843
207,157 207 205,1.6108194328876244,1.600087634106681,2.8972756223311693,Si O Si,128.92995195784255
211,163 175 174,1.5958810740981937,1.6311530286805296,3.0899884460771108,Si O Si,146.48229511856925
212,166 164 167,1.6048954774666142,1.60874757635863,2.8854629378253986,Si O Si,127.76129966188657
213,166 165 176,1.6006103949756063,1.6065955703618728,2.9080563845861964,Si O Si,130.1133696686299
214,166 171 170,1.592169947282828,1.600688115659,3.030854866520791,Si O Si,143.3397982242216
215,166 179 185,1.5983481081777553,1.610803300124217,3.0592590292782105,Si O Si,144.8382281377752
219,167 178 187,1.6133467342130428,1.6278038092299973,3.0611984898508724,Si O Si,141.63536572045896
222,169 172 170,1.5950005250085408,1.5858844311023874,2.9609431278429033,Si O Si,137.13683772463037
223,169 181 200,1.6086134758827202,1.6010393756015455,3.159841776390308,Si O Si,159.78535886962254
224,170 168 174,1.5862308567332781,1.6301100395426698,2.9809579913996576,Si O Si,135.88345856498327
231,174 180 187,1.6634091825282915,1.6074791007497047,3.115948078007315,Si O Si,144.58299116176164
235,176 184 200,1.6006376665764175,1.593689685316099,3.1769140169852124,Si O Si,168.02935887549958
238,185 161 206,1.6048686697184245,1.6024413322051867,2.995888164401304,Si O Si,138.16042603100257
242,187 192 215,1.6246586903932845,1.6169878420103256,3.199396686600301,Si O Si,161.4787021753004
243,187 214 202,1.5998144698391097,1.584312530248264,3.0334439400390654,Si O Si,144.60534305306177
247,190 195 198,1.6019554656741606,1.6027410772618147,3.0542523051602033,Si O Si,144.74864860620593
249,196 91 212,1.6028691290099746,1.6132264494305995,3.0215996394234894,Si O Si,139.94339469693915
