,Index,Bond length 1,Bond length 2,Length 3,Bond name
253,86 190 90,3.018010983,2.9565143,2.911435563,Si Si Si
254,86 190 154,3.018010983,3.108452917,5.80234963,Si Si Si
255,86 190 198,3.018010983,3.054252305,4.832096959,Si Si Si
256,196 87 88,3.013636147,3.13752432,4.18778192,Si Si Si
257,87 88 90,3.13752432,2.884161245,5.172024522,Si Si Si
258,87 88 96,3.13752432,3.000621314,4.879191932,Si Si Si
259,87 88 100,3.13752432,2.999212824,4.743874051,Si Si Si
260,87 88 212,3.13752432,3.396960563,4.283105409,Si Si Si
261,87 196 209,3.013636147,3.011272489,5.523304664,Si Si Si
262,87 196 212,3.013636147,3.021599639,4.283105409,Si Si Si
263,96 88 90,3.000621314,2.884161245,4.731595004,Si Si Si
264,100 88 90,2.999212824,2.884161245,5.213124313,Si Si Si
265,212 88 90,3.396960563,2.884161245,6.151549352,Si Si Si
266,88 90 190,2.884161245,2.9565143,5.044529561,Si Si Si
267,100 88 96,2.999212824,3.000621314,4.489813787,Si Si Si
268,212 88 96,3.396960563,3.000621314,2.873660242,Si Si Si
269,88 96 212,3.000621314,2.873660242,3.396960563,Si Si Si
270,212 88 100,3.396960563,2.999212824,3.010868837,Si Si Si
271,88 100 212,2.999212824,3.010868837,3.396960563,Si Si Si
272,88 100 215,2.999212824,3.097466016,5.565515131,Si Si Si
273,88 212 96,3.396960563,2.873660242,3.000621314,Si Si Si
274,88 212 100,3.396960563,3.010868837,2.999212824,Si Si Si
275,88 212 196,3.396960563,3.021599639,4.18778192,Si Si Si
276,88 212 209,3.396960563,2.912381985,5.968427865,Si Si Si
277,90 190 154,2.9565143,3.108452917,5.629812336,Si Si Si
278,90 190 198,2.9565143,3.054252305,5.001645934,Si Si Si
279,96 212 100,2.873660242,3.010868837,4.489813787,Si Si Si
280,96 212 196,2.873660242,3.021599639,3.795834209,Si Si Si
281,96 212 209,2.873660242,2.912381985,4.883069647,Si Si Si
282,215 100 212,3.097466016,3.010868837,4.294710345,Si Si Si
283,100 212 196,3.010868837,3.021599639,5.317983005,Si Si Si
284,100 212 209,3.010868837,2.912381985,5.648700013,Si Si Si
285,100 215 123,3.097466016,3.134082839,5.87305785,Si Si Si
286,100 215 187,3.097466016,3.199396687,5.041039667,Si Si Si
287,117 110 112,3.177110102,3.304265335,4.582382767,Si Si Si
288,121 110 112,2.963973648,3.304265335,4.526009445,Si Si Si
289,110 112 115,3.304265335,3.201126911,4.065880982,Si Si Si
290,110 112 125,3.304265335,3.192637545,4.757863423,Si Si Si
291,110 112 174,3.304265335,3.159394756,6.271308353,Si Si Si
292,121 110 117,2.963973648,3.177110102,4.899659813,Si Si Si
293,110 117 115,3.177110102,3.074416012,4.065880982,Si Si Si
294,110 117 127,3.177110102,3.243849439,5.820761859,Si Si Si
295,110 117 138,3.177110102,3.119813866,4.756609034,Si Si Si
296,110 121 154,2.963973648,3.030738879,5.333551264,Si Si Si
297,110 121 169,2.963973648,3.09082896,4.522993047,Si Si Si
298,125 112 115,3.192637545,3.201126911,5.643971437,Si Si Si
299,174 112 115,3.159394756,3.201126911,3.864684527,Si Si Si
300,112 115 117,3.201126911,3.074416012,4.582382767,Si Si Si
301,112 115 163,3.201126911,2.967207246,4.566219491,Si Si Si
302,112 115 169,3.201126911,2.965327752,3.92204995,Si Si Si
303,174 112 125,3.159394756,3.192637545,5.009026264,Si Si Si
304,112 125 133,3.192637545,3.004193445,5.663609046,Si Si Si
305,112 125 147,3.192637545,3.12041508,5.135143039,Si Si Si
306,112 174 163,3.159394756,3.089988446,4.566219491,Si Si Si
307,112 174 170,3.159394756,2.980957991,3.838447476,Si Si Si
308,112 174 187,3.159394756,3.115948078,5.990687712,Si Si Si
309,163 115 117,2.967207246,3.074416012,5.25839346,Si Si Si
310,169 115 117,2.965327752,3.074416012,5.104186688,Si Si Si
311,115 117 127,3.074416012,3.243849439,5.410755692,Si Si Si
312,115 117 138,3.074416012,3.119813866,5.501444666,Si Si Si
313,169 115 163,2.965327752,2.967207246,5.229038711,Si Si Si
314,115 163 174,2.967207246,3.089988446,3.864684527,Si Si Si
315,115 169 121,2.965327752,3.09082896,4.6207336,Si Si Si
316,115 169 170,2.965327752,2.960943128,4.315619271,Si Si Si
317,115 169 200,2.965327752,3.159841776,5.640470659,Si Si Si
318,138 117 127,3.119813866,3.243849439,5.02208714,Si Si Si
319,117 127 123,3.243849439,3.233194562,5.506921094,Si Si Si
320,117 138 142,3.119813866,3.045873117,5.471728683,Si Si Si
321,117 138 151,3.119813866,3.149730429,5.678378776,Si Si Si
322,117 138 157,3.119813866,3.1032714,4.792065166,Si Si Si
323,169 121 154,3.09082896,3.030738879,5.21779848,Si Si Si
324,121 154 142,3.030738879,3.190283685,4.858928752,Si Si Si
325,121 154 190,3.030738879,3.108452917,4.894909047,Si Si Si
326,121 169 170,3.09082896,2.960943128,5.349937131,Si Si Si
327,121 169 200,3.09082896,3.159841776,5.181825319,Si Si Si
328,133 123 127,2.959284387,3.233194562,5.324153498,Si Si Si
329,167 123 127,2.938894769,3.233194562,5.138789654,Si Si Si
330,215 123 127,3.134082839,3.233194562,5.983788679,Si Si Si
331,167 123 133,2.938894769,2.959284387,3.001957233,Si Si Si
332,215 123 133,3.134082839,2.959284387,4.717629884,Si Si Si
333,123 133 125,2.959284387,3.004193445,5.398145967,Si Si Si
334,123 133 140,2.959284387,3.08138712,5.773452936,Si Si Si
335,123 133 167,2.959284387,3.001957233,2.938894769,Si Si Si
336,215 123 167,3.134082839,2.938894769,4.180652142,Si Si Si
337,123 167 133,2.938894769,3.001957233,2.959284387,Si Si Si
338,123 167 166,2.938894769,2.885462938,5.025803193,Si Si Si
339,123 167 187,2.938894769,3.06119849,4.519975758,Si Si Si
340,123 215 187,3.134082839,3.199396687,4.519975758,Si Si Si
341,147 125 133,3.12041508,3.004193445,4.337260618,Si Si Si
342,125 133 140,3.004193445,3.08138712,3.939024899,Si Si Si
343,125 133 167,3.004193445,3.001957233,5.489198203,Si Si Si
344,125 147 142,3.12041508,3.053976279,4.560068005,Si Si Si
345,125 147 156,3.12041508,3.002741372,5.00179338,Si Si Si
346,125 147 209,3.12041508,3.106076888,5.80468961,Si Si Si
347,167 133 140,3.001957233,3.08138712,5.150550118,Si Si Si
348,133 140 142,3.08138712,3.080369043,5.294072838,Si Si Si
349,133 140 205,3.08138712,2.958375787,4.387376237,Si Si Si
350,133 140 213,3.08138712,2.97502309,4.483648743,Si Si Si
351,133 167 166,3.001957233,2.885462938,5.51382128,Si Si Si
352,133 167 187,3.001957233,3.06119849,5.010830799,Si Si Si
353,151 138 142,3.149730429,3.045873117,4.616086562,Si Si Si
354,157 138 142,3.1032714,3.045873117,5.183885659,Si Si Si
355,138 142 140,3.045873117,3.080369043,4.321355252,Si Si Si
356,138 142 147,3.045873117,3.053976279,4.860237524,Si Si Si
357,138 142 154,3.045873117,3.190283685,5.411532619,Si Si Si
358,157 138 151,3.1032714,3.149730429,4.128854974,Si Si Si
359,138 151 156,3.149730429,3.154287729,5.218291492,Si Si Si
360,138 151 205,3.149730429,3.03542963,4.009523482,Si Si Si
361,138 157 176,3.1032714,2.757753389,5.35661823,Si Si Si
362,138 157 205,3.1032714,2.897275622,4.009523482,Si Si Si
363,138 157 206,3.1032714,3.072135282,5.442838215,Si Si Si
364,205 140 142,2.958375787,3.080369043,4.893697421,Si Si Si
365,213 140 142,2.97502309,3.080369043,5.659558172,Si Si Si
366,140 142 147,3.080369043,3.053976279,4.171805187,Si Si Si
367,140 142 154,3.080369043,3.190283685,5.726317362,Si Si Si
368,213 140 205,2.97502309,2.958375787,4.269088245,Si Si Si
369,140 205 151,2.958375787,3.03542963,4.322306323,Si Si Si
370,140 205 157,2.958375787,2.897275622,4.662806462,Si Si Si
371,140 205 202,2.958375787,2.985809964,4.191774297,Si Si Si
372,140 213 202,2.97502309,3.187097276,4.191774297,Si Si Si
