,Index,Name,Bond length 1,Bond length 2,Bond length 3,Dihedral Angles
445,85 106 90 104,Si O Si O,1.6140321351709566,1.5966998948457407,1.614743042422612,13.350039367507469
446,85 106 90 107,Si O Si O,1.6140321351709566,1.5966998948457407,1.5870533458954321,-102.51963855896875
447,85 201 206 161,Si O Si O,1.6304220406487597,1.631802263244932,1.6024413322051867,-49.46907408849117
448,85 201 206 203,Si O Si O,1.6304220406487597,1.631802263244932,1.60373362757698,-165.60293045354
449,85 201 206 210,Si O Si O,1.6304220406487597,1.631802263244932,1.6409288934131754,73.77779430267125
450,86 104 90 93,Si O Si O,1.6051571745531577,1.614743042422612,1.6179700202059797,-17.58090187886396
451,86 104 90 106,Si O Si O,1.6051571745531577,1.614743042422612,1.5966998948457407,108.54177305003962
452,86 104 90 107,Si O Si O,1.6051571745531577,1.614743042422612,1.5870533458954321,-137.14854736834198
453,86 105 80 186,Si O Si O,1.6107353912081765,1.6307035342481844,1.6135138021406057,-117.17875506811751
454,86 105 80 199,Si O Si O,1.6107353912081765,1.6307035342481844,1.6054828478489107,118.50974930385328
455,86 108 190 93,Si O Si O,1.629266718517483,1.633493257250732,1.630565566447974,-2.0952781903823414
456,86 108 190 189,Si O Si O,1.629266718517483,1.633493257250732,1.6301117317383966,123.41991585466947
457,86 108 190 195,Si O Si O,1.629266718517483,1.633493257250732,1.6019554656741606,-115.21951923860813
458,87 79 81 177,Si O Si O,1.6199695398616896,1.6111632027255,1.6038636754827862,-160.5460877017864
459,87 94 196 91,Si O Si O,1.6668726068791107,1.646313038575786,1.6028691290099746,-1.6851192671047381
460,87 94 196 197,Si O Si O,1.6668726068791107,1.646313038575786,1.6464199646346562,-113.65160022138092
461,87 102 88 95,Si O Si O,1.6061690311640946,1.6028746442569706,1.63626247762701,176.93156984322567
462,87 102 88 103,Si O Si O,1.6061690311640946,1.6028746442569706,1.6235058801975821,52.174712272580514
463,87 102 88 107,Si O Si O,1.6061690311640946,1.6028746442569706,1.5925456446899584,-62.885547957786414
464,88 95 100 97,Si O Si O,1.63626247762701,1.6360909604223606,1.6269157095687314,73.35368102487706
465,88 95 100 98,Si O Si O,1.63626247762701,1.6360909604223606,1.6364735918302602,-163.03623768483087
466,88 95 100 188,Si O Si O,1.63626247762701,1.6360909604223606,1.6391739730860089,-48.88888030791738
467,88 102 87 94,Si O Si O,1.6028746442569706,1.6061690311640946,1.6668726068791107,-82.21242562435815
468,88 103 96 89,Si O Si O,1.6235058801975821,1.6161520299654664,1.6403311224672308,8.854194216297177
469,88 103 96 101,Si O Si O,1.6235058801975821,1.6161520299654664,1.5946995298337647,123.05552464156685
470,88 107 90 93,Si O Si O,1.5925456446899584,1.5870533458954321,1.6179700202059797,-92.62209241682866
471,88 107 90 104,Si O Si O,1.5925456446899584,1.5870533458954321,1.614743042422612,26.411704538862992
472,88 107 90 106,Si O Si O,1.5925456446899584,1.5870533458954321,1.5966998948457407,141.1527919686144
473,89 212 91 196,O Si O Si,1.618705854117524,1.6132264494305995,1.6028691290099746,-118.26210954451922
474,89 212 188 100,O Si O Si,1.618705854117524,1.6192888119822137,1.6391739730860089,-26.12129719551443
475,89 212 208 209,O Si O Si,1.618705854117524,1.5976644965105442,1.6260380307348088,104.16239279504659
476,90 93 190 108,Si O Si O,1.6179700202059797,1.630565566447974,1.633493257250732,-18.719368024709482
477,90 93 190 189,Si O Si O,1.6179700202059797,1.630565566447974,1.6301117317383966,-143.30636689136637
478,90 93 190 195,Si O Si O,1.6179700202059797,1.630565566447974,1.6019554656741606,97.4481717718798
479,90 104 86 99,Si O Si O,1.614743042422612,1.6051571745531577,1.5923040618247564,123.6978913698506
480,90 104 86 105,Si O Si O,1.614743042422612,1.6051571745531577,1.6107353912081765,-122.68790791396783
481,90 104 86 108,Si O Si O,1.614743042422612,1.6051571745531577,1.629266718517483,3.0938741827465597
482,90 106 85 92,Si O Si O,1.5966998948457407,1.6140321351709566,1.6164229692593004,-26.974107069874652
483,90 106 85 201,Si O Si O,1.5966998948457407,1.6140321351709566,1.6304220406487597,-139.42994392984747
484,90 107 88 95,Si O Si O,1.5870533458954321,1.5925456446899584,1.63626247762701,-77.09182627748005
485,90 107 88 102,Si O Si O,1.5870533458954321,1.5925456446899584,1.6028746442569706,162.37143942499173
